
Timeframe & Parameter Performance (sorted by total return):
|      | start               | end                 |   lookback |   z_enter |   z_exit |   max_holding |   total_return |       sharpe |            max_dd | pair      |
| 5943 | 2022-10-17 00:00:00 | 2023-10-17 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5942 | 2022-10-17 00:00:00 | 2023-10-17 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5941 | 2023-11-11 00:00:00 | 2024-11-10 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5940 | 2022-04-20 00:00:00 | 2023-04-20 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 2970 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2971 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2973 | 2020-10-27 00:00:00 | 2021-10-27 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2986 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2974 | 2020-10-27 00:00:00 | 2021-10-27 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2975 | 2020-10-27 00:00:00 | 2021-10-27 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2976 | 2020-10-27 00:00:00 | 2021-10-27 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2977 | 2020-10-27 00:00:00 | 2021-10-27 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2978 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
